State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Male_Workers,Female_Workers,Hindus,Muslims,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,sex_ration,lieracy_rate,sex_ratio
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,2179,13094,3958,348410,195464,1240650,37232,316144,227730,748168,112812,223902,31261,175899,95.0,61.0,95.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,912,9042,2246,300235,259414,849518,16558,325159,234490,495256,148931,318909,9453,82356,101.0,57.0,101.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,2324,12507,5435,397714,282009,1192588,125548,535066,144657,660688,281465,266350,8556,123352,96.0,62.0,96.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,1781,20172,5829,525329,150664,1875495,76159,520970,155023,1289977,304674,148222,16354,206743,84.0,60.0,84.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,1945,8342,4498,245708,172974,741288,67324,358500,60182,407385,175602,136330,4020,102730,95.0,62.0,95.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,653,8501,2219,275375,156623,974748,35214,276633,155365,584522,135445,198847,12201,85505,91.0,54.0,91.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,1141,9931,6017,370366,147472,1195235,120331,370241,147597,813759,138725,228151,17316,133646,90.0,62.0,90.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,1611,12718,4185,429768,315835,1433879,106928,471773,273830,800211,285095,330820,12123,117565,96.0,52.0,96.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,3644,14905,5757,411446,279534,1267043,151071,471139,219841,764089,218692,305946,11928,154414,97.0,57.0,97.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,3406,31194,11833,617184,374762,2268838,85414,630251,361695,1373160,258321,463506,50878,219241,93.0,61.0,93.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,4546,24811,11291,682077,323958,2198297,103480,779093,226942,1372423,203600,378560,140458,283417,89.0,65.0,89.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,3754,22751,9401,590487,320862,2158623,59471,612510,298839,1317586,227967,371584,46056,265742,93.0,62.0,93.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,1566,11166,6041,364559,221528,1163607,137980,372150,213937,725245,201307,227026,9917,147837,92.0,60.0,92.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,1182,10417,4048,394660,289774,1145052,79739,397575,286859,694697,173665,376404,11957,122408,98.0,63.0,98.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,1733,10817,3819,292402,200655,997073,42426,240811,252246,573006,95795,258991,14329,123942,97.0,57.0,97.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,1382,10797,4200,431857,286014,1321003,174724,508833,209038,794810,287924,303157,8809,117981,94.0,59.0,94.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,273,5393,1634,183788,93667,638702,41396,196189,81266,410406,106745,115261,4166,51283,90.0,48.0,90.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,1852,15304,5417,481001,278280,1648749,51200,577723,181558,966769,383340,220440,13079,142422,88.0,52.0,88.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,837,10790,3320,284289,177471,1077545,34419,275482,186278,665273,102644,262030,15654,81432,96.0,53.0,96.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,1090,10899,4139,402776,252542,1383475,44143,470432,184886,789848,305859,223852,15622,109985,90.0,52.0,90.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,7501,27733,12167,569425,328017,1718204,233133,682115,215327,1089422,289013,302003,19678,286748,96.0,62.0,96.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,839,6360,1873,175698,113993,620515,15966,138600,151091,355067,65369,145690,8767,69865,95.0,55.0,95.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,1926,12888,5682,401583,148819,1287391,149548,397283,153119,908473,168615,228308,12408,141071,90.0,59.0,90.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,6163,24232,9037,520362,247792,1107809,357253,691025,77129,1045752,129680,388521,9660,240293,95.0,78.0,95.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,9438,36185,15285,837577,398745,2055177,421410,1061544,174778,1652123,198793,667943,20998,348588,95.0,78.0,95.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,2362,31168,7145,599157,238613,2291133,237353,480286,357484,1702303,178525,426096,40652,192497,93.0,58.0,93.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,23258,69937,33322,1015864,559215,2545438,786677,1446636,128443,2126203,554518,396630,28033,595898,92.0,68.0,92.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,2932,13165,5184,345054,252251,1009352,26502,413838,183467,603029,123099,312183,17169,144854,98.0,75.0,98.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,5614,29198,12836,727819,527729,2174672,320395,1154708,100840,1329501,606280,373566,21093,254609,92.0,66.0,92.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,4767,24877,10034,734024,485617,1845424,354236,1107542,112099,1366617,385447,603227,13770,217197,93.0,73.0,93.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,8239,31419,12746,648565,409607,1780085,92297,804433,253739,1146135,220978,473983,21346,341865,96.0,72.0,96.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,6065,27139,10912,570448,365922,1825460,187901,825875,110495,1114492,239139,429536,20646,247049,95.0,63.0,95.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,2866,13595,5074,383151,282268,1153861,26157,433962,231457,657088,186509,281414,32525,164971,100.0,76.0,100.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,1221,9676,3833,330903,238279,863199,127552,514371,54811,608163,241613,226483,8268,92818,94.0,67.0,94.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,14297,56775,19560,1186472,677099,3457615,560261,1643955,219616,2366346,384359,937174,38930,503108,92.0,68.0,92.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,3791,17236,8400,545030,385856,1504641,274221,844492,86394,1028160,418952,300937,16705,194292,94.0,61.0,94.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,22269,71879,49081,1125204,578850,3379906,286558,1508563,195491,2171947,660872,266028,59932,717222,96.0,73.0,96.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,6217,29758,13150,670018,376839,2006984,367664,964177,82680,1407339,331780,416578,17663,280836,93.0,67.0,93.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,57964,135750,71592,1334211,534349,3492202,390974,1654778,213782,2785010,206606,423587,52419,1185948,95.0,79.0,95.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,7548,43055,12341,925232,568721,2501741,471951,1317791,176162,1867339,447823,632395,29158,384577,94.0,65.0,94.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,2579,17047,6135,442898,349167,1521618,96182,664193,127872,856230,211672,438176,14599,127618,98.0,55.0,98.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,45039,138887,79590,1746286,1017042,5237009,693052,2523023,240305,3343859,967385,730228,56132,1009583,93.0,71.0,93.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,3209,18183,7974,473795,300121,1437623,178925,701894,72022,883660,297361,299525,19831,157199,92.0,69.0,92.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,3982,21196,6973,501422,321375,1328385,306364,756417,66380,1013289,295030,317806,13210,196751,95.0,63.0,95.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,235018,490260,273326,2809816,1239177,8090254,673704,3751221,297772,5380415,886530,414461,105711,2642291,91.0,76.0,91.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,3342,13857,5979,429211,260956,1422986,17332,484875,205292,803817,208313,323788,9959,148107,99.0,64.0,99.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,38570,96301,43536,753843,319126,2239370,227465,858825,214144,1561231,206975,191182,32919,641893,96.0,74.0,96.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,7752,31062,15191,407008,307068,1307211,187197,554973,159103,900993,296913,153117,17230,246816,112.0,74.0,112.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,13212,49056,29515,800214,414890,2440312,239607,1074948,140156,1607039,480554,290693,40824,403033,97.0,73.0,97.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,14093,57423,36046,844805,510142,2691952,146970,1184407,170540,1648794,585876,297241,39772,432058,99.0,74.0,99.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,3517,15721,9264,229676,117502,780384,26264,226538,120640,502473,124812,81816,9679,130871,104.0,78.0,104.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,15145,59296,28219,1206933,691462,3795424,441254,1763175,135220,2419361,637250,558334,71106,631705,94.0,67.0,94.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,256170,551643,172210,3363123,1129644,8716055,1355630,3930511,562256,6567381,349931,418004,124461,3600371,89.0,74.0,89.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,4313,16260,6970,392316,215919,1057096,53854,529623,78612,692539,132989,282170,13785,179291,95.0,78.0,95.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,1875,10757,3623,340353,229439,859949,142672,502755,67037,627368,165598,310195,7122,86877,93.0,73.0,93.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,6094,29917,12132,815475,540524,2251401,239236,1195100,160899,1416349,333504,739718,17899,264878,95.0,73.0,95.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,676,3447,2009,62807,47130,175102,18691,76423,33514,127462,34358,15109,11567,48903,100.0,66.0,100.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,184,1782,908,42615,33623,10810,3086,53753,22485,67944,43255,8315,3040,21628,93.0,63.0,93.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,837,4496,1807,70594,52061,12034,2886,89779,32876,151488,64834,8282,5067,44472,97.0,71.0,97.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,256,2170,827,124143,109479,43833,1649,185725,47897,245526,175127,30369,4978,42307,94.0,55.0,94.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,125,1362,495,37237,33438,2995,589,55979,14696,69976,48849,1924,1710,18192,94.0,60.0,94.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,880,5110,3141,109377,85942,267146,107323,133428,61891,226849,77331,33106,21017,63865,100.0,64.0,100.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,276,2437,1107,46533,41396,7553,1115,67724,20205,96069,56815,3852,2233,25029,94.0,71.0,94.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,288,2368,1167,72262,53811,17272,3359,83936,42137,191844,77390,19246,2475,26962,97.0,60.0,97.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,5032,19306,15048,204303,122483,144935,14185,289576,37210,499136,76767,40889,2966,206164,101.0,70.0,101.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,510,4333,4790,88839,65341,12456,1646,110617,43563,240944,50844,35766,2004,65566,101.0,47.0,101.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,179,1625,695,32826,20243,7036,1050,38397,14672,89265,28145,5565,1249,18110,95.0,58.0,95.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,1630,8872,3589,151914,103779,122936,106788,188371,67322,387598,120740,39725,7643,87585,98.0,56.0,98.0
